datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI
2024-09-19 13:00:00+05:30,25422.4,25433.85,25395.85,25395.85,25408.52,25490.4,-1,25540.77,-1,25441.74,25446.87,44.16,49.62
2024-09-19 13:15:00+05:30,25396.35,25426.55,25386.15,25411.4,25408.03,25480.4,-1,25529.77,-1,25435.0,25443.34,46.34,49.18
2024-09-19 13:30:00+05:30,25411.8,25419.7,25384.5,25404.55,25402.92,25474.03,-1,25521.98,-1,25428.59,25439.67,45.5,48.69
2024-09-19 13:45:00+05:30,25404.3,25411.7,25376.05,25403.05,25396.93,25463.96,-1,25510.68,-1,25422.25,25435.78,45.3,48.24
2024-09-19 14:00:00+05:30,25405.95,25416.35,25392.35,25403.1,25403.93,25463.96,-1,25510.68,-1,25418.59,25432.89,45.31,47.85
2024-09-19 14:15:00+05:30,25400.5,25417.15,25394.05,25413.95,25408.38,25463.96,-1,25510.68,-1,25416.55,25430.66,47.2,47.76
2024-09-19 14:30:00+05:30,25413.85,25424.25,25394.75,25404.8,25407.93,25463.96,-1,25510.68,-1,25414.82,25428.59,45.76,47.49
2024-09-19 14:45:00+05:30,25403.25,25421.5,25388.6,25418.1,25409.4,25463.96,-1,25505.6,-1,25413.74,25426.85,48.23,47.59
2024-09-19 15:00:00+05:30,25418.45,25427.55,25392.6,25426.25,25415.47,25463.96,-1,25505.6,-1,25414.09,25425.81,49.73,47.88
2024-09-19 15:15:00+05:30,25424.55,25453.7,25406.85,25445.0,25435.18,25463.96,-1,25505.6,-1,25418.3,25426.66,53.11,48.58
2024-09-20 09:15:00+05:30,25525.95,25547.85,25453.3,25488.3,25496.48,25430.6,1,25505.6,-1,25433.94,25433.01,59.83,50.08
2024-09-20 09:30:00+05:30,25488.9,25501.3,25426.6,25459.8,25462.57,25430.6,1,25505.6,-1,25439.67,25435.7,54.31,50.64
2024-09-20 09:45:00+05:30,25459.9,25599.25,25452.8,25585.15,25545.73,25437.29,1,25378.13,1,25460.88,25445.7,68.2,52.98
2024-09-20 10:00:00+05:30,25586.7,25610.1,25551.0,25553.55,25571.55,25491.82,1,25432.67,1,25483.01,25457.14,63.0,54.32
2024-09-20 10:15:00+05:30,25554.25,25596.95,25541.65,25582.2,25573.6,25491.82,1,25432.67,1,25501.13,25467.73,65.56,55.82
2024-09-20 10:30:00+05:30,25583.05,25686.9,25579.1,25677.65,25647.88,25537.5,1,25473.83,1,25530.48,25484.11,72.42,58.03
2024-09-20 10:45:00+05:30,25677.6,25692.7,25652.25,25669.05,25671.33,25580.45,1,25519.11,1,25558.65,25501.13,71.05,59.77
2024-09-20 11:00:00+05:30,25667.8,25716.65,25629.95,25702.25,25682.95,25580.45,1,25519.11,1,25583.51,25517.66,73.16,61.55
2024-09-20 11:15:00+05:30,25702.2,25725.6,25685.75,25694.7,25702.02,25613.46,1,25551.98,1,25607.21,25534.42,71.87,62.93
2024-09-20 11:30:00+05:30,25694.75,25714.0,25666.2,25689.15,25689.78,25613.46,1,25551.98,1,25623.73,25548.54,70.89,63.99
2024-09-20 11:45:00+05:30,25689.2,25724.85,25682.2,25700.55,25702.53,25615.98,1,25557.61,1,25639.49,25562.54,71.75,65.02
2024-09-20 12:00:00+05:30,25700.55,25726.65,25697.2,25710.1,25711.32,25628.71,1,25573.24,1,25653.85,25576.06,72.48,66.02
